,,,per 100g,per 100g,per 100g,per 100g,per 100g,per 100g,per 100g
Public Food Key,Food Name,Description,"Energy 
F005824,"Morwong, fillet, raw",Uncooked morwong fillet.,544,19.4,5.8,1.99,0,0,89
F005823,"Morwong, fillet, grilled, no added fat",Morwong fillet that has been grilled with no added fat.,745,26.5,7.9,2.72,0,0,122
F005825,"Morwong, fillet, steamed, no added fat",Morwong fillet that has been steamed with no added fat.,528,23,3.7,1.37,0,0,86
F005922,"Mullet, yelloweye, fillet, raw",Uncooked mullet fillet caught in Australian waters.,549,19.2,6,2.67,0,0,131
F005921,"Mullet, yelloweye, fillet, baked, no added fat","Mullet with or without skin, cooked by any method.",752,26.4,8.2,3.65,0,0,179
F005923,"Mullet, yelloweye, fillet, steamed, no added fat","Yelloweye mullet fillet caught in Australian waters, steamed with no added fat.",559,22,5,2,0,0,144
F005930,"Mulloway, fillet, raw",Uncooked mulloway flesh.,435,20.6,2.3,0.78,0,0,54
F005926,"Mulloway, fillet baked, no added fat","Mulloway with or without skin, cooked by baking with no added fat or oil.",595,28.2,3.2,1.07,0,0,74
F005932,"Mulloway, fillet, steamed, no added fat",Mulloway flesh that has been steamed with no added fat.,540,23.2,3.9,1.36,0,0,63
F007827,"Salmon, Atlantic, fillet, raw","Uncooked Atlantic salmon fillet, produced by aquaculture.",965,20.5,16.7,3.77,0,0,32
F007826,"Salmon, Atlantic, fillet, grilled, no added fat","Atlantic salmon fillet without skin, produced by aquaculture that has been grilled with no added fat.","1,078",22.9,18.6,4.21,0,0,36
F007828,"Salmon, Atlantic, fillet, steamed, no added fat","Atlantic salmon fillet without skin, produced by aquaculture that has been steamed with no added fat.","1,135",24.1,19.6,4.44,0,0,32
F007849,"Salmon, Pacific King, fillet, skinless, raw","Uncooked pacific king salmon fillet without skin, produced by aquaculture.","1,149",18.1,22.8,5.65,0,0,30
F007848,"Salmon, Pacific King, fillet, skinless, grilled, no added fat","Pacific king salmon fillet without skin, produced by aquaculture that has been grilled with no added fat.","1,284",20.2,25.4,6.32,0,0,33
F007850,"Salmon, Pacific King, fillet, steamed, no added fat","Pacific King salmon fillet without skin, produced by aquaculture that has been steamed with no added fat.","1,352",21.3,26.8,6.65,0,0,30
F007973,"Sardine, Australian, whole, raw",Uncooked Australian sardines.,442,19.7,2.9,1.17,0,0,665
F007972,"Sardine, Australian, whole, fried, no added fat",Australian sardines that have been fried with no added fat.,444,22,1.9,0.59,0,0,794
F008775,"Sprat, blue, wild caught, flesh, skin & bones, raw","Fish described as Australian sardines but of two species (Sardinops sagax and Spratelloides robustus). Wild harvested, uncooked.",378,18.7,1.6,0.5,0,0,675
F008774,"Sprat, blue, wild caught, flesh, skin & bones, fried, no added fat","Fish described as Australian sardines but of two species (Sardinops sagax and Spratelloides robustus). Wild harvested, fried with no added fat.",444,22,1.9,0.59,0,0,794
F008237,"Shark, fillet, without skin, raw","Uncooked shark or flake (typically Gummy, School and Black Tipped shark) fillet without skin.",434,24.6,0.4,0.1,0,0,180
F008236,"Shark, fillet, without skin, baked, no added fat","Shark or flake (typically Gummy, School and Black Tipped shark) fillet without skin that has been cooked by any method.",595,33.8,0.6,0.13,0,0,246
F008238,"Shark, fillet, without skin, steamed, no added fat","Shark or flake (typically Gummy, School and Black Tipped shark) fillet without skin that has been steamed with no added fat.",488,27.7,0.5,0.11,0,0,162
F008263,"Silver perch, aquacultured, raw","Uncooked silver perch fillet, produced in Australia by aquaculture.",924,19.5,16,4.27,0,0,70
F008258,"Silver perch, aquacultured, baked, no added fat",Silver perch fillet that has been cooked by any method.,"1,266",26.7,22,5.85,0,0,96
F008264,"Silver perch, aquacultured, steamed, no added fat","Silver perch fillet, produced in Australia by aquaculture, that has been steamed with no added fat.","1,100",23.2,19.1,5.09,0,0,71
F008359,"Snapper, fillet, raw",Uncooked snapper fillet.,404,20.3,1.6,0.46,0,0,85
F008358,"Snapper, fillet, baked, no added fat",Snapper fillet that has been cooked by any method.,554,27.8,2.2,0.64,0,0,116
F008360,"Snapper, fillet, steamed, no added fat",Snapper fillet that has been steamed with no added fat.,554,27.8,2.2,0.64,0,0,93
F009163,"Tilapia, fillet, raw","Uncooked tilapia fillet, produced by aquaculture and imported into Australia.",477,18.5,4.4,1.37,0,0,84
F009161,"Tilapia, fillet, baked, no added fat","Tilapia fillet, produced by aquaculture and imported into Australia that has been baked with no added fat.",654,25.3,6,1.88,0,0,115
F009164,"Tilapia, fillet, steamed, no added fat","Tilapia fillet, produced by aquaculture and imported into Australia, that has been steamed with no added fat.",568,22,5.2,1.63,0,0,85
F009268,"Trout, ocean, aquacultured, fillet, without skin, raw","Uncooked ocean trout, produced in Australia by aquaculture.","1,205",17.4,24.6,6.24,0,0,247
F009267,"Trout, ocean, aquacultured, fillet, without skin, baked, no added fat","Uncooked ocean trout, produced in Australia by aquaculture that has been backed with no added fat.","1,651",23.8,33.7,8.55,0,0,338
F009269,"Trout, ocean, aquacultured, fillet, without skin, steamed, no added fat","Uncooked ocean trout, produced in Australia by aquaculture that has been steamed with no added fat.","1,435",20.7,29.3,7.43,0,0,250
F009271,"Trout, rainbow, aquacultured, raw","Uncooked rainbow trout (including some skin), produced in Australia by aquaculture.",645,19.6,8.4,2.51,0,0,70
F009270,"Trout, rainbow, aquacultured, baked, no added fat","Rainbow trout (including some skin), produced in Australia by aquaculture that has been cooked by any method.",883,26.8,11.6,3.44,0,0,96
F009273,"Trout, rainbow, aquacultured, steamed, no added fat","Rainbow trout with or without skin, cooked by steaming, without added fat or oil.",767,23.3,10,2.99,0,0,71
F009303,"Tuna, yellowfin, fillet, raw",Uncooked yellowfin tuna flesh.,435,23.4,1,0.24,0,0,37
F009302,"Tuna, yellowfin, fillet, baked, no added fat","Tuna flesh, that has been cooked by any method.",596,32,1.4,0.33,0,0,51
F009304,"Tuna, yellowfin, fillet, steamed, no added fat","Yellowfin tuna flesh, that has been steamed with no added fat.",518,27.8,1.2,0.28,0,0,37
F009560,"Whiting, King George, fillet, raw",Uncooked king george whiting flesh,362,19.8,0.7,0.18,0,0,70
F009557,"Whiting, King George, fillet, baked, no added fat",Whiting flesh that has been cooked by any method.,517,28.2,1,0.26,0,0,100
F009561,"Whiting, King George, fillet, steamed, no added fat",King george whiting flesh that has been steamed with no added fat.,437,23.3,1.1,0.28,0,0,69
F003920,"Fish, eel, raw","Uncooked eel, with or without skin.",745,18.4,11.7,2.36,0,0,51
F003898,Fish paste or spread,"Spread containing a minimum of 70% fish (typically cod, salmon and/or anchovy) with other ingredients such as salt and thickeners.",652,14.9,6.9,1.33,7.8,0,"1,200"
F000002,"Abalone, black lip, aquacultured, raw",Uncooked greyish-brown flesh of a single-shelled mollusc which is characterised by a black ring surrounding the flesh. Aquacultured.,332,16.2,0.8,0.16,1.6,0.4,390
F000003,"Abalone, black lip, wild, raw",Uncooked greyish-brown flesh of a single-shelled mollusc which is characterised by a black ring surrounding the flesh. Wild caught.,380,19.4,0.6,0.14,1.6,0.4,268
F000005,"Abalone, green lip, aquacultured, raw",Uncooked greyish-brown flesh of a single-shelled mollusc which is characterised by a green ring surrounding the flesh. Aquacultured.,345,17.1,0.8,0.17,1.6,0.4,792
F000006,"Abalone, green lip, wild, raw",Uncooked greyish-brown flesh of a single-shelled mollusc which is characterised by a green ring surrounding the flesh. Wild caught.,363,18.7,0.5,0.13,1.6,0.4,255
F000004,"Abalone, brown lip, wild, raw",Uncooked greyish-brown flesh of a single-shelled mollusc which is characterised by a brown ring surrounding the flesh. Wild caught.,353,17.8,0.6,0.15,1.6,0.4,280
F003243,"Crab, flesh, purchased steamed or boiled",Flesh from crabs purchased freshly cooked by boiling or steaming.,370,20.2,0.7,0.14,0,0,420
F005228,"Lobster, southern rock, wild, flesh, raw",Uncooked flesh from lobsters.,370,20.2,0.7,0.12,0,0,283
F005227,"Lobster or crayfish, flesh, purchased steamed, poached or boiled, no added fat",Flesh from lobsters cooked whole in water or steam prior to purchase so that the lobster is red in colour.,411,22.5,0.8,0.13,0,0,283
F005968,"Mussel, blue, steamed","Flesh of a mussel that has a blue or purple tinged shell, that has been steamed with no added fat.",438,16,2.3,0.37,4.7,0,353
F006150,"Octopus, raw",Uncooked octopus flesh.,292,14.9,1,0.22,0,0,230
F006148,"Octopus, boiled, no added fat",Octopus flesh that has been boiled with no added fat.,324,16.6,1.2,0.25,0,0,204
F006288,"Oyster, native, aquacultured, raw",Uncooked flesh of aquacultured native oysters purchased in open half shell.,198,7.3,1.7,0.41,0.6,0,585
F006289,"Oyster, Pacific, aquacultured, raw",Uncooked flesh of aquacultured Pacific oysters purchased in open half shell.,278,10.8,2.2,0.48,0.6,0,541
F006291,"Oyster, Sydney rock, aquacultured, raw",Uncooked flesh of aquacultured Sydney rock oysters purchased in open half shell.,293,10.6,2.8,0.6,0.6,0,491
F006285,"Oyster, aquacultured, raw","Uncooked flesh of oysters purchased in open half shell. Includes oysters described as Pacific, Native and Sydney rock oysters.",267,10.1,2.3,0.5,0.6,0,535
F007422,"Prawn, banana, wild, flesh, raw","Uncooked flesh from banana prawns, typically pale in colour with a greenish tinge. Wild caught.",247,13.2,0.6,0.13,0,0,509
F007421,"Prawn, banana, aquacultured, purchased cooked",Flesh from banana prawns. Wild caught and purchased pre-cooked.,429,23.2,1,0.18,0,0,805
F007424,"Prawn, brown tiger, wild, flesh, raw","Uncooked flesh from brown tiger prawns, typically pale brown to blue-green with distinctive stripes. Wild caught.",432,23.4,0.9,0.17,0,0,273
F007423,"Prawn, black tiger, aquacultured, purchased cooked",Flesh from black tiger prawns. Wild caught and purchased pre-cooked.,382,20.2,1,0.2,0,0,918
F007431,"Prawn, endeavour, wild, flesh, raw","Uncooked flesh from endeavour prawns, typically pale brown to pink in colour. Wild caught.",408,22.4,0.7,0.15,0,0,330
F007451,"Prawn, school, wild, flesh, raw","Uncooked flesh from school prawns, typically pale in colour with a greenish tinge. Wild caught.",345,17.8,1.1,0.24,0,0,114
F007454,"Prawn, Western king, wild, flesh, raw","Uncooked flesh from Western king prawns, typically cream to light brown flesh. Wild caught.",437,23.9,0.8,0.16,0,0,268
F007433,"Prawn, flesh, raw (green)","Uncooked flesh from large prawns, typically pale in colour with a greenish tinge.",381,20.7,0.8,0.15,0,0,345
F007432,"Prawn, flesh, cooked from raw, no added fat",Flesh from large prawns that have been fried with no added fat.,507,27.1,1.2,0.24,0,0,"1,077"
F008166,"Scallop, raw",Uncooked flesh and roe of a scallop.,352,15.6,0.8,0.14,3.4,0.8,150
F008165,"Scallop, fried, no added fat",Flesh and roe of a scallop that has been fried with no added fat.,440,19.5,1,0.18,4.2,1.1,188
F008828,"Squid or calamari, raw",Uncooked squid tubes.,328,16.7,1.2,0.31,0,0,284
F008825,"Squid or calamari, fried, no added fat","Squid tubes, cut into ring shapes that have been fried with no added fat.",410,20.9,1.5,0.39,0,0,355
F000074,"Anchovy, canned in oil, drained","Anchovy fillets preserved by canning in edible oil (including olive and soy oils) and salt, then drained.",762,25.4,8.9,1.97,0,0,"5,480"
F003009,"Cod, smoked, raw",Uncooked fillets of cod preserved by cold or liquid smoking so that the fish has an orange colour.,356,18.8,1,0.25,0,0,655
F003003,"Cod or hake, smoked, steamed",Fillets of cod or hake preserved by cold or liquid smoking so that the fish has an orange colour. Steamed without added fat.,396,20.1,1.5,0.36,0,0,548
F007853,"Salmon, pink, canned in brine, drained","Flesh, bones and skin of fish labelled as being pink salmon, canned in brine, then drained.",579,20.7,6.2,1.4,0,0,382
F007860,"Salmon, red, canned in brine, drained","Flesh, bones and skin of fish labelled as being red salmon, canned in brine, then drained.",617,24.4,5.5,1.14,0,0,350
F007864,"Salmon, smoked, sliced",Salmon preserved by salting and smoking then sliced prior to sale. May contain small amounts of vegetable oil. Salmon may be produced in Australia or imported.,787,24.3,10.1,1.74,0,0,"1,015"
F009300,"Tuna, unflavoured, canned in water, drained","Tuna flesh, canned in water, drained.",540,26.1,2.6,1.03,0,0,250
F009285,"Tuna, canned in brine, drained","Tuna flesh preserved by canning in brine, then drained.",540,26.1,2.6,1.03,0,0,400
F003197,"Corn chips, plain, no added salt","Snack product consisting of ground corn, formed into shapes, then deep fried in vegetable oil. Does not contain added salt or flavour.","2,053",7.5,25,5.81,56,0.6,0
F003198,"Corn chips, plain, salted","Snack food product that consists of chips made from ground corn that is fried in vegetable oil, with added salt, but no added flavours.","2,053",7.5,25,5.81,56,0.6,420
F009073,"Taco shell, from corn flour, plain",Pre-purchased hard corn-based shells for use in preparing tacos. Shells are fried before packaging.,"1,949",6.8,21.8,1.81,56.3,1.1,80
F006313,"Pappadam, deep fried","Thin, dry, circular wafer, generally made from legume flour. Deep fried in oil until puffed, blistered and crispy.","2,296",13.4,39.8,4.02,31,0.9,"1,069"
F006315,"Pappadam, uncooked","Thin, dry, circular wafer, generally made from legume flour. Uncooked.","1,362",20.6,2.5,0.32,47.7,1.4,"1,646"
F006843,"Popcorn, air-popped, no added fat or salt",Air-popped corn kernels. Does not contain added fat/oil or salt.,"1,538",14.1,4.1,0.66,60.1,1,1
F007456,"Pretzels, salted",Baked snack product generally made from wheat flour with yeast. Lightly salted before baking. Includes flavoured varieties.,"1,502",10.2,4.5,0.77,67.2,2.9,"1,168"
F000278,"Bar, carob","Confectionery product containing carob powder with ingredients such as vegetable oil, skim milk powder and lecithin.","2,388",5.6,43.8,40.99,36.4,31.6,137
F002916,"Chocolate, compound, cooking",Cocoa-based product formulated for baking or other cooking purposes in which cocoa butter is wholly or partially replaced with vegetable oils. Generally dark in colour but also includes milk cooking chocolate.,"2,195",4,30.3,27.72,57,55.3,45
F009837,"Chocolate, dark, no added sugar","Dark chocolate that contains between 35 and 75% cocoa solids so that it is dark in colour and slightly bitter in flavour. No added sugar. Products are sweetened with erythritol, maltitol, or xylitol.","2,118",6.9,38.3,23.07,4.1,0.5,3
F002921,"Chocolate, dark, high cocoa solids",Dark chocolate that contains between 40 and 59% cocoa solids so that it is dark in colour and slightly bitter in flavour.,"2,262",3.9,30.3,18.35,62.6,52,55
F002929,"Chocolate, milk",Chocolate confectionery product containing added milk solids and sold in a block or moulded into novelty shapes.,"2,234",7.6,30.6,18.77,56,54.6,68
F002946,"Chocolate, white",Chocolate confectionery product that contains milk solids and cocoa butter and is creamy white in colour.,"2,328",7.1,34.5,21.4,54.6,54.6,78
F002220,"Capers, pickled, canned, drained",Small round green berries of the caper bush. Pickled commercially and drained.,126,2.4,0.9,0.27,1.7,0.4,"2,348"
F002953,"Chutney or relish, commercial","Jam-like preserve containing fruit, dried fruit, sugar, vinegar, salt and spices.",792,0.5,0.3,0,43.1,41.5,690
F004600,"Jam, berry",A fruit-based jam or conserve with a thick consistency and high viscosity. Consists of a mixture of whole berries or berry pieces cooked in sugar and water.,"1,169",0.3,0,0,67.3,67.2,12
F004604,"Jam, plum",An fruit based jam or conserve made with an equal weight of either whole plums or large plum pieces and sugar cooked in water.,"1,116",0.2,0,0,64.4,64.3,14
F004607,"Jam, stone fruit",An fruit based jam or conserve made with an equal weight of either whole fruits or pieces of fruits such as apricot and sugar cooked in water.,"1,116",0.2,0,0,64.4,64.3,14
F005421,"Marmalade, orange",A sugary fruit preserve with a lumpier consistency than jam as both the skin and pulp of the orange is used in its making.,"1,127",0.1,0,0,65.5,65.4,33
F008777,"Spread, hazelnut & chocolate flavoured","A thick, chocolate flavoured hazelnut spread.","2,250",6.8,30.3,7.96,57.8,57.2,42
F008969,"Sugar, brown",A soft moist brown sugar with a fine crystal size.,"1,649",0.2,0,0,96.8,96.8,21
F011010,"Sugar, low energy, D-allulose","A novel food produced from the enzymatic conversion of fructose by D-psicose 3-epimerase contained in Microbacterium foliorum, and used primarily as a sugar substitute. ",200,0,0,0,0,0,0
F003629,"Sugar, low energy, D-Tagatose",A novel food produced from the hydrolysis of lactose and used primarily as a sugar substitute. ,"1,100",0,0,0,0,0,0
F008973,"Sugar, raw",A light brown sugar characterised by a larger crystal size and consists of 98% sucrose and 2% water and ash.,"1,697",0,0,0,99.8,99.8,1
F008976,"Sugar, white, granulated or lump","Purified extract from the sugar cane plant that is composed almost entirely of sucrose and may be supplied in lumps, coarse or fine granules or as a powder.","1,700",0,0,0,100,100,0
F008980,"Sugar, white, icing",Produced by milling granulated sugar which is a form of sucrose refined from sugar cane to produce a fine white powder.,"1,700",0,0,0,100,100,0
F008981,"Sugar, white, icing mixture",Produced by milling granulated sugar which is a form of sucrose refined from sugar cane to produce a fine white powder. Wheat starch is added to maintain a fine powder.,"1,693",0,0,0,99.6,95.6,0
F003098,"Confectionery, cake decoration, sugar based (hundreds & thousands)","Small, brightly coloured, brittle balls of sugar that are usually sprinkled on cakes, biscuits or other sweet foods.","1,628",0.1,0.1,0.02,95.4,72,20
F004219,"Glucose, liquid or syrup","Liquid product containing glucose and other carbohydrates, produced from the hydrolysis of starch. Composition will vary depending on particular formulation.","1,488",0,0,0,87.5,33,150
F004380,Honey,Sugar syrup made by bees using nectar from flowers.,"1,234",0.3,0,0,72.3,72.3,8
F004574,"Intense sweetener, containing aspartame, tablet formulation",Sweetening product in tablet formulation containing aspartame as the intense sweetener. Also contains lactose and corn starch.,"1,483",27.2,0,0,59.3,31.2,164
F004575,"Intense sweetener, containing aspartame/acesulfame-potassium, tablet formulation",Sweetening product in tablet formulation containing aspartame and acesulphame-potassium as the intense sweeteners. Also contains lactose.,"1,556",9.6,0,0,78.6,72.9,38
F004577,"Intense sweetener, containing saccharin, tablet formulation",Sweetening product in tablet formulation containing sodium saccharin as the intense sweetener.,40,0,0.5,0,1.2,0.2,"16,700"
F004579,"Intense sweetener, containing stevia, tablet formulation",Sweetening product in tablet formulation containing stevia leaf extract as the intense sweetener.,581,0.6,0,0,26.8,23.9,"4,578"
F004581,"Intense sweetener, containing sucralose, tablet formulation",Sweetening product in tablet formulation containing sucralose as the intense sweetener. Also contains lactose.,957,0,0,0,55.4,53.5,102
F004578,"Intense sweetener, containing stevia, powdered formulation",Sweetening product in powder formulation containing stevia leaf extract as the intense sweetener.,0,0,0,0,0,0,0
F004580,"Intense sweetener, containing sucralose, powdered formulation",Sweetening product in powder formulation containing sucralose as the intense sweetener. Also contains dextrose and maltodextrin.,"1,530",0,0,0,90,87,0
F010097,"Intense sweetener, containing stevia, liquid formulation",Sweetening product in liquid formulation containing stevia leaf extract as the intense sweetener.,129,0,0,0,7.6,7.6,2
F009047,"Syrup, agave, light & dark, liquid","A sweet, light to dark brown syrup produced from the leaves of the agave plant.","1,292",0,0,0,76,76,0
F009049,"Syrup, golden",Made from sugar syrup which has been partially broken down into glucose and fructose and is light to medium brown in colour.,"1,278",0.2,0,0,74.9,74.9,130
F009052,"Syrup, maple, pure",Light to medium brown coloured sugar syrup traditionally made by boiling maple tree sap at atmospheric pressure or by freeze-drying it at reduced atmospheric pressure. Imported into Australia.,"1,142",0,0.1,0.01,67,60.4,12
F009949,"Syrup, malt",Sweet syrup derived from sprouted barley. ,"1,380",6.2,0,0,75,49,35
F009937,"Syrup, rice malt",Sweet syrup derived by steeping rice starch in enzymes to break down the starches and produce a liquid which is reduced of excess water until a syrup consistency is reached. ,"1,409",0.3,0,0,82.6,54.5,14
F009056,"Syrup, sugar and water, simple syrup","Clear, sweet syrup made from dissolving granulated sugar in an equal amount of water. ",776,0,0,0,45.6,45.6,2
F009956,Treacle or molasses,"An viscous syrup made during the refining of sugar, often used as a sweetener. ","1,192",0.6,0,0,69.2,69.2,66
F004611,"Jelly crystals, sugar sweetened, all flavours","Coloured and flavoured dry crystals of sugar. Main ingredients include sucrose, citric acid, sodium and artificial colours and flavours.","1,690",7.1,0,0,90.7,90.7,520
F004615,"Jelly, sugar sweetened, all flavours, prepared",Semi-solid water based dessert product prepared from packaged dried jelly crystals.,245,1,0,0,13.2,13.2,78
F004612,"Jelly, intense sweetened, all flavours, prepared","Semi-solid, brightly coloured dessert prepared from water and packaged, intense sweetened, dry jelly crystals.",28,1.6,0,0,0,0,23
F004610,"Jelly crystals, intense sweetened, all flavours","Dry powder with added colour, flavour, gelatine, acidity regulators and intense sweeteners. Does not contain added sugar.","1,564",90.4,0,0,0,0,"1,130"
F005522,"Meringue, all flavours, commercial",A baked dessert with a crisp exterior and chewy interior made from beaten egg whites with added sugar and colours and flavours. Commonly served plain or topped with cream and fruit.,"1,628",2.6,1.4,0.13,90.1,89.4,40
F000396,"Basil, green, fresh, raw","Large, green, oval-shaped, pointed leaves, with a distinct sweet smell and taste. Uncooked.",94,2.6,0.5,0.03,0.2,0,10
F002907,"Chives, raw","Long, thin, flattish, dark green stem which comes to a point at the top. Uncooked.",124,1.5,0.3,0,2.6,2.6,7
F003192,"Coriander, fresh, raw",Fresh leaves and stems of the coriander plant. Uncooked.,133,3.1,0.6,0.02,1.9,1.2,45
F003509,"Dill, fresh, raw","Fresh slender stems with fine threadlike leaves, with a distinct sweet smell and taste. Uncooked.",171,3.4,1.2,0.06,2.5,1.2,42
F010451,"Marjoram, fresh, raw",Fresh leaves of origanum majorana which have a sweet pine and citrus flavour.,397,3.3,5.9,2.72,0.6,0.4,26
F005700,"Mint, fresh, raw","Fresh medium sized green leaves, with a distinct sweet smell and taste. Uncooked.",226,3.1,1.1,0.26,4.4,0.9,28
F010452,"Oregano, fresh, raw",A woody herb with fragrant needle-like green leaves on small stalks. Uncooked.,397,3.3,5.9,2.72,0.6,0.4,26
F006321,"Parsley, continental, fresh, raw",Long stemmed herb with large flat bright green leaves. Uncooked.,151,3.9,0.7,0,1.1,1,150
F006322,"Parsley, curly, fresh, raw",Long stemmed herb with bright green frilly leaves. Uncooked.,98,1.9,0.2,0,0.4,0.4,48
F007716,"Rosemary, fresh, raw",A woody herb with fragrant needle-like green leaves on small stalks. Uncooked.,397,3.3,5.9,2.72,0.6,0.4,26
F010439,"Sage, fresh, raw",A herb with a woody stem and fragrant greyish leaves.,397,3.3,5.9,2.72,0.6,0.4,26
F010466,"Thyme, fresh, raw",An aromatic herb with small green leaves which grow in clusters on thin stems.,288,5.6,1.7,0,1.1,1,150
F000144,"Artichoke, globe, raw","The unopened flower bud of a thistle with gold-green to purple coloured leaves surrounding a hairy inedible choke, on top of an edible heart. Round to conical in shape. Edible portion comprises lower part of leaves and heart. Uncooked.",147,2.8,0.2,0,1.3,0.9,6
F000142,"Artichoke, globe, boiled, drained","The unopened flower bud of a thistle with gold-green to purple coloured leaves surrounding a hairy inedible choke, on top of an edible heart. Round to conical in shape. Lower leaves and heart boiled in unsalted water without added fat, then drained.",173,3.3,0.2,0,1.5,1,7
F000146,"Artichoke, jerusalem, peeled, raw","Yellow-beige tuber or root with short knobbly, club shaped branches. Uncooked and peeled.",300,2.1,0.1,0,13.5,2.7,5
F000145,"Artichoke, jerusalem, peeled, boiled, drained","Yellow-beige tuber or root with short knobbly, club shaped branches. Peeled and boiled in unsalted water without added fat, then drained.",323,2.2,0.1,0,14.5,2.9,5
F000141,"Artichoke heart, canned in brine, drained","Central edible portion of the unopened flower bud, with tightly wrapped leaves gold-green to purple in colour. Canned in brine, then drained.",107,1.9,0.3,0,1.2,1.1,280
F000155,"Asparagus, green, raw",Long crisp green stem with a fragile feathery tip. Uncooked.,90,2.5,0.1,0,1.4,1.4,2
F000151,"Asparagus, green, boiled, drained","Long crisp green stem with a fragile feathery tip, boiled in unsalted water without added fat, then drained.",106,2.9,0.1,0,1.6,1.6,2
F000153,"Asparagus, green, fresh or frozen, baked, roasted, stir-fried or fried, grilled or BBQ'd, no added fat","Long crisp green stem with a fragile feathery tip, baked, roasted, stir-fried or fried, grilled or BBQ'd without added fat.",110,3,0.1,0,1.7,1.7,2
F000149,"Asparagus, canned in brine, drained","Long crisp green stem with a fragile feathery tip cut into pieces, canned in brine, then drained.",106,1.9,0.1,0,1.5,1.5,240
F000162,"Avocado, hass, raw","Almost pear shaped, with a green to black shiny skin and a delicate yellow flesh with a green outer hue. Uncooked.",653,1.6,14.6,2.14,2.2,0,8
F010994,"Avocado, shepard, raw","Almost pear shaped fruiting vegetable, with a smooth, shiny, glossy-green skin and firm yellow flesh with a green outer hue. Uncooked.",640,1.6,14.6,4.26,2.2,0,2
F000253,"Bamboo shoot, canned in water, heated, drained","Tender young shoots of an edible bamboo plant, cream in colour with a fibrous texture. Sliced and canned in water. Heated in own juice, then drained.",58,0.8,0,0,1.3,0.8,10
F000431,"Bean, green, fresh, raw","Long, thin, green, crisp pod with small, round, smooth seeds inside. Uncooked.",109,1.8,0,0,3.3,2.6,0
F000430,"Bean, green, fresh, boiled, drained","Long, thin, green, crisp pod with small round smooth seeds inside. Trimmed, sliced, and boiled in unsalted water without added fat, then drained.",117,1.9,0,0,3.5,2.8,0
F000434,"Bean, green, frozen, boiled, drained","Long, thin, green, crisp pod with small round smooth seeds inside sliced and commercially packaged frozen. Boiled at home in unsalted water without added fat, then drained.",110,1.4,0.2,0,2.8,1.3,2
F000428,"Bean, green, fresh, cooked, no added fat","Long, thin, green, crisp pod with small round smooth seeds inside. Cooked by baking, roasting, frying, stir-frying, grilling or BBQ'ing without added fat.",128,2.1,0,0,3.9,3,0
F001015,"Beetroot, fresh, purple, peeled, raw",Rounded root vegetable with dark brown-purple skin and stems and purple flesh. Edible portion comprises flesh only. Uncooked.,244,2,0.6,0,9.4,9.3,32
F001013,"Beetroot, fresh, purple, peeled, baked, no added fat",Rounded root vegetable with dark brown-purple skin and stems and purple flesh. Chopped and baked without added fat.,298,2.4,0.7,0,11.4,11.3,38
F001014,"Beetroot, fresh, purple, peeled, boiled, drained","Rounded root vegetable with dark brown-purple skin and stems and purple flesh. Flesh boiled in unsalted water without added fat, then drained.",263,2.1,0.6,0,10,10,32
F001010,"Beetroot, canned in brine, drained","Whole or sliced beetroots that has been boiled and canned in an acidified salted brine, then drained.",192,1.2,0,0,8.7,8.7,220
F001301,"Bok choy, raw","Asian vegetable with white to pale green coloured stems, and rounded, dark-green leaves. Uncooked.",80,2.5,0.2,0,0.6,0.6,57
F001300,"Bok choy, fried, no added fat","Asian vegetable with white to pale green coloured stems, and rounded, dark-green leaves. Fried without added fat.",114,3.6,0.3,0,0.8,0.8,81
F001302,"Bok choy, steamed","Asian vegetable with white to pale green coloured stems, and rounded, dark-green leaves. Boiled in unsalted water without added fat, then drained.",83,2.6,0.2,0,0.6,0.6,56
F001905,"Broccoli, fresh, raw","Deep green flower clusters which form the head, and pale green stems. Uncooked.",138,4,0.4,0,1.2,1.2,20
F001904,"Broccoli, fresh, microwaved",Deep green flower clusters which form the head with pale green stems. Purchased fresh then  microwaved without added salt or fat.,113,3.2,0.4,0,1.3,1.3,13
F001900,"Broccoli, fresh, boiled, drained","Deep green flower clusters which form the head with pale green stems. Boiled, microwaved or steamed in unsalted water without added fat, then drained",101,2.9,0.3,0.07,1.2,1.1,13
F001899,"Broccoli, fresh, baked, no added fat","Deep green flower clusters which form the head, and pale green stems. Fresh. Chopped and baked without added fat.",168,4.9,0.4,0,1.4,1.4,24
F001909,"Broccolini, fresh, raw","Deep green flower clusters which form the head, and pale green stems. Uncooked.",123,3.2,0.4,0,2,1.3,16
F001908,"Broccolini, fresh, boiled, drained","Deep green flower clusters which form the head with pale green stems. Boiled in unsalted water without added fat, then drained",128,3.3,0.4,0,2.1,1.4,16
F001914,"Brussels sprout, fresh, raw",Layers of small green leaves with white stems wrapped around a white base. Uncooked.,188,3.8,0.3,0,4.2,3.4,31
F001913,"Brussels sprout, fresh, boiled, drained","Layers of small green leaves with white stems wrapped around a white base. Boiled in unsalted water without added fat, then drained.",196,4,0.3,0,4.3,3.6,31
F011003,"Brussels sprout, fresh, baked, no added fat","Layers of small green leaves with white stems wrapped around a white base. Baked, roasted, stir-fried, fried, grilled or BBQ'd, with no added oil or fat.",209,4.2,0.4,0,4.6,3.8,34
