,,,per 100g,per 100g,per 100g,per 100g,per 100g,per 100g,per 100g
Public Food Key,Food Name,Description,"Energy 
F008411,"Soft drink, dry ginger ale or ginger beer, regular","Carbonated, non-alcoholic beverage prepared from water, sugar, and colours.",168,0,0,0,9.8,9.8,7
F008438,"Soft drink, fruit flavours","Carbonated, non-alcoholic beverage prepared from water, sugar and citric acid.",152,0,0,0,8.8,8.8,14
F008460,"Soft drink, tonic water","Carbonated, non-alcoholic beverage prepared from water and sugar with added quinine.",151,0,0,0,8.8,8.8,12
F008439,"Soft drink, fruit flavours, intense sweetened or diet","Carbonated, non-alcoholic beverage prepared from water, intense sweetener, fruit flavours and colours.",2,0,0,0,0,0,14
F008461,"Soft drink, tonic water, intense sweetened or diet","Carbonated, non-alcoholic beverage prepared from water and intense sweetener with added quinine.",2,0,0,0,0,0,12
F008421,"Soft drink, energy drink, Red Bull","Carbonated, non-alcoholic water-based flavoured beverage containing added caffeine, taurine, glucuronolactone, inositol, niacinamide, pantothenic acid, vitamins B6 and B12.",195,0.1,0,0,10.8,10.8,71
F008424,"Soft drink, energy drink, V","Carbonated, non-alcoholic water-based flavoured beverage containing added caffeine, taurine, guarana, inositol, glucoronolactone, pantothenic acid, vitamins B2, B3, B6 and B12. May also contain ginkgo bilboa extract.",195,0.1,0,0,10.8,10.8,110
F009795,"Kombucha, flavoured, added juice or intense sweeteners",Beverage prepared by the fermentation of green or black tea with a combination of yeast and bacteria. Contains intense sweeteners and added flavours such as fruit juice. Ready to drink. ,29,0,0,0,0.9,0.8,0
F009125,"Tea, regular, black, brewed from leaf or teabags, without milk","Beverage prepared by brewing black tea leaves (dried, fermented leaves of Camellia sinensis) in hot water, either as loose tea leaves or encased in porous teabags. Tea is not decaffeinated or flavoured. Does not contain added milk or sugar.",1,0.1,0,0,0,0,0
F009115,"Tea, black, brewed from leaf or teabags, decaffeinated","Beverage prepared by brewing black decaffeinated tea leaves (dried, fermented leaves of Chrysanthemum species) in hot water, either as loose tea leaves or encased in porous teabags. Does not contain added flavours, milk or sugar.",1,0.1,0,0,0,0,0
F009117,"Tea, green, plain, without milk","Beverage prepared by brewing green, unfermented tea leaves in hot water, either as loose tea leaves or encased in porous teabags. Does not contain added flavours, milk or sugar.",4,0.2,0,0,0,0,1
F005696,"Mineral water, natural, unflavoured","Carbonated or naturally sparkling ground water obtained from subterranean water-bearing strata that, in its natural state, contains soluble matter. No added sugar or flavours.",0,0,0,0,0,0,8
F005694,"Mineral water, citrus flavoured","Carbonated, non-alcoholic beverage containing 5% citrus juice (orange and lemon), mineral water and sugar.",67,0,0,0,3.7,3.7,15
F009516,"Water, bottled, still","Still, non-carbonated water bottled prior to sale. May include spring water.",0,0,0,0,0,0,1
F008377,"Water, soda",Carbonated water.,0,0,0,0,0,0,3
F009527,"Water, tap","Water as supplied through the municipal water system. Values are approximations of those reported across Australia, and may vary according to location or time of year.",0,0,0,0,0,0,3
F001115,"Biscuit, savoury, corn cake, plain, salted","Commercially prepared, round or square, savoury dry cake, made from puffed corn and salted.","1,548",9.8,3,0.42,71.5,0.4,240
F001152,"Biscuit, savoury, rice cracker, plain","Commercially prepared savoury biscuit made predominantly from rice flour, with added salt and/or 'original' flavours.","1,627",7,4.3,0.81,78.8,0.7,400
F001147,"Biscuit, savoury, rice cake, from brown rice, plain","Commercially prepared, round or square, savoury dry cake, approximately 1 cm thick, made from brown puffed rice. Does not contain added flavour. May contain added salt.","1,604",8.8,3.5,0.6,76.3,0.8,41
F001118,"Biscuit, savoury, from rye flour, crispbread","A thin, flat rectangle of dry bread made predominantly from rye flour. Commercially prepared; some brands may include a proportion of wheat flour.","1,359",8.8,1.3,0.17,60.6,2.8,240
F009832,"Biscuit, savoury, seed based","Savoury biscuit based predominately on seeds (e.g. linseed, pumpkin seed, poppy seed, sesame seed) with added salt.","2,396",20.1,49.6,5.78,6,1.4,500
F001123,"Biscuit, savoury, from white wheat flour, flaky cracker style","Commercially prepared, square, plain savoury biscuit made from white wheat flour, with a flaky or layered texture.","2,070",11.5,20.7,9.68,63.6,3.6,639
F001126,"Biscuit, savoury, from white wheat flour, plain snack cracker style","Commercially prepared, small, plain savoury biscuit made from white wheat flour and added fat, sprinkled with salt.","2,064",8.1,20.7,9.08,66.3,6.7,609
F001129,"Biscuit, savoury, from white wheat flour, Salada style",Commercially prepared square biscuits made from white wheat flour with added fat and sprinkled with salt.,"1,786",9.2,14.2,3.8,63.1,1.2,830
F001133,"Biscuit, savoury, from white wheat flour, water cracker style","Commercially prepared round, savoury biscuits made from white wheat flour and water.","1,652",10.4,7.2,3.12,69.4,2,560
F001137,"Biscuit, savoury, from wholemeal wheat flour, crispbread","Commercially prepared savoury thin, flat, biscuit made from wholemeal wheat flour (plain varieties).","1,569",10.6,8.1,0.7,59.1,2,450
F001120,"Biscuit, savoury, from wheat flour, crispbread, puffed & toasted","A thin, flat rectangle of puffed, toasted dry bread made from white wheat flour.","1,566",12.3,5.6,3.4,66.1,3.6,380
F001164,"Biscuit, sweet, Anzac style, commercial","Commercially prepared sweet crunchy oat based biscuit. Typical ingredients include rolled oats, wheat flour, coconut and golden syrup.","1,972",5.8,22.1,13.35,60.3,32,300
